Marital_status,Application_order,Admission_grade,Displaced,Debtor,Gender,Scholarship_holder,Age_at_enrollment,Status
1,5,127.3,1,0,1,0,20,Dropout
1,1,142.5,1,0,1,0,19,Graduate
1,5,124.8,1,0,1,0,19,Dropout
1,2,119.6,1,0,0,0,20,Graduate
2,1,141.5,0,0,0,0,45,Graduate
2,1,114.8,0,1,1,0,50,Graduate
1,1,128.4,1,0,0,1,18,Graduate
1,4,113.1,1,0,1,0,22,Dropout
1,3,129.3,0,0,0,1,21,Graduate
1,1,123.0,1,1,0,0,18,Dropout
1,1,130.6,1,0,0,0,18,Graduate
1,1,119.3,1,0,0,1,18,Graduate
1,2,130.2,1,0,0,0,19,Dropout
1,1,111.8,1,0,0,1,21,Graduate
1,1,137.1,1,0,0,1,18,Graduate
1,1,120.7,1,0,0,0,20,Dropout
1,2,127.3,1,0,0,0,18,Graduate
1,1,136.3,1,0,0,0,20,Graduate
1,3,120.3,0,0,0,1,21,Graduate
1,4,125.5,1,0,0,0,18,Graduate
1,4,114.9,1,0,0,1,19,Graduate
1,1,123.9,0,0,0,0,19,Graduate
1,2,116.4,1,0,0,0,21,Graduate
1,1,122.1,1,0,0,0,20,Graduate
1,1,130.0,1,0,1,0,20,Graduate
1,1,134.5,1,0,0,0,19,Graduate
1,1,131.4,0,0,1,0,34,Graduate
1,1,102.5,0,1,1,0,37,Dropout
1,1,128.8,1,0,1,0,43,Dropout
1,1,122.9,0,0,0,0,55,Dropout
4,1,113.9,1,0,0,0,39,Graduate
1,1,120.0,0,1,0,0,20,Dropout
1,5,121.1,0,1,0,0,18,Dropout
1,2,120.4,1,0,0,0,22,Graduate
1,6,100.6,1,0,0,0,22,Graduate
1,1,121.4,0,0,0,0,20,Dropout
1,1,109.7,0,0,0,0,29,Dropout
1,2,127.6,1,0,0,0,18,Graduate
1,6,132.4,1,0,0,1,22,Graduate
1,1,133.4,0,0,0,1,21,Graduate
1,1,126.1,0,0,0,1,19,Graduate
1,1,113.5,0,0,0,1,24,Graduate
1,3,159.3,0,0,0,0,19,Graduate
1,1,120.0,0,0,0,0,27,Dropout
1,1,129.1,1,0,0,0,18,Graduate
2,1,130.0,0,0,0,0,39,Dropout
1,1,155.3,1,0,0,0,27,Dropout
1,1,139.8,1,0,0,0,18,Graduate
1,2,114.9,0,0,0,0,18,Graduate
1,1,131.9,0,0,0,1,21,Graduate
4,1,126.0,1,0,1,0,29,Dropout
1,3,128.2,1,0,1,1,19,Graduate
1,1,130.0,1,0,1,0,23,Graduate
1,3,120.1,0,1,1,0,19,Dropout
1,1,130.8,0,0,1,0,24,Graduate
1,1,135.8,1,0,1,0,19,Dropout
1,4,111.7,1,0,1,0,18,Dropout
1,2,132.9,1,0,1,0,18,Graduate
1,3,115.5,1,1,1,0,18,Dropout
1,4,106.0,1,0,1,1,21,Dropout
1,4,120.3,1,1,1,1,19,Graduate
1,4,130.8,0,0,1,1,22,Graduate
2,1,117.0,0,0,1,0,33,Graduate
1,6,110.2,1,0,1,0,20,Dropout
1,1,155.7,1,0,1,0,35,Dropout
1,1,180.4,0,1,1,0,24,Dropout
2,1,110.0,1,0,0,0,33,Graduate
1,1,161.0,1,0,0,1,22,Graduate
1,1,100.0,0,0,0,1,25,Graduate
1,1,117.6,1,0,1,0,20,Graduate
1,1,100.8,0,0,1,0,24,Dropout
1,2,105.0,1,0,0,0,21,Graduate
1,1,100.0,0,0,0,0,26,Dropout
2,1,115.5,0,0,0,0,39,Dropout
2,1,114.0,0,0,0,0,44,Graduate
1,5,124.9,1,0,0,0,18,Graduate
1,5,120.3,1,0,0,1,18,Graduate
1,4,111.5,1,1,0,0,19,Dropout
1,1,128.8,0,0,0,0,21,Dropout
1,4,110.0,1,0,0,0,20,Graduate
2,1,113.5,1,0,0,0,36,Dropout
4,1,160.0,0,0,0,0,43,Graduate
1,1,117.4,1,0,0,0,19,Dropout
1,1,122.2,0,1,0,0,20,Graduate
1,2,118.2,1,0,0,0,19,Dropout
1,1,106.7,1,0,0,0,20,Dropout
1,5,108.2,1,0,0,0,20,Dropout
1,1,136.1,1,0,0,0,18,Graduate
1,1,139.8,1,0,0,0,19,Graduate
1,3,157.0,1,0,0,0,18,Graduate
1,2,131.0,1,0,0,0,18,Dropout
1,2,137.0,0,0,0,0,18,Graduate
1,1,121.8,0,0,0,0,18,Graduate
1,1,131.0,1,0,0,0,21,Dropout
1,2,118.6,1,0,0,0,19,Graduate
1,1,122.3,0,0,0,0,19,Dropout
1,1,127.9,0,0,0,1,19,Graduate
1,1,121.3,1,0,0,0,19,Graduate
1,6,117.1,1,0,0,0,19,Dropout
1,1,160.0,1,0,0,0,20,Graduate
1,3,122.6,1,0,0,0,18,Graduate
1,6,128.0,1,0,0,0,19,Graduate
1,3,124.9,1,0,0,1,18,Dropout
1,2,123.7,1,0,0,0,18,Graduate
1,4,120.1,1,0,0,0,19,Graduate
1,6,131.7,1,0,0,0,19,Dropout
1,1,133.2,0,0,0,0,20,Graduate
1,1,109.3,0,1,0,1,19,Dropout
1,1,113.0,1,0,0,0,20,Graduate
1,1,157.9,0,1,0,1,18,Graduate
1,1,174.7,0,0,0,0,18,Graduate
1,5,128.8,1,0,0,0,19,Graduate
1,6,110.1,1,0,0,1,19,Graduate
1,3,121.0,1,0,0,1,19,Graduate
1,3,131.7,1,0,0,1,19,Graduate
1,5,119.1,1,0,0,1,19,Graduate
1,4,124.7,1,0,0,0,19,Dropout
1,1,117.2,1,0,0,0,20,Dropout
1,1,128.8,0,0,0,0,18,Graduate
1,1,131.5,0,0,0,1,20,Graduate
1,1,123.4,0,0,0,0,19,Graduate
1,1,132.8,1,0,0,0,18,Graduate
1,1,108.7,1,0,0,0,21,Dropout
1,1,138.1,0,0,0,0,19,Dropout
1,1,126.5,0,0,0,1,18,Graduate
1,2,127.4,1,0,0,1,18,Graduate
1,3,123.6,1,0,0,0,20,Graduate
1,1,122.0,0,0,0,1,24,Graduate
1,1,118.2,0,0,0,0,19,Dropout
1,1,123.9,1,0,0,1,18,Graduate
1,2,125.8,1,0,0,0,18,Graduate
1,5,123.3,1,0,0,0,21,Dropout
1,2,124.4,0,0,0,0,19,Graduate
1,1,126.0,0,0,0,1,19,Graduate
1,3,121.5,0,0,0,0,19,Graduate
1,1,130.0,0,0,0,0,29,Graduate
1,1,117.0,1,0,0,0,21,Dropout
1,2,108.0,0,0,0,0,20,Graduate
1,1,132.3,1,0,0,0,19,Graduate
1,1,148.0,0,0,0,0,26,Graduate
1,2,122.6,1,1,0,0,20,Dropout
1,1,102.5,0,0,0,0,27,Graduate
1,2,113.3,1,0,0,0,20,Dropout
1,5,133.0,1,0,0,0,18,Dropout
1,1,140.0,0,0,0,0,33,Dropout
1,1,128.3,1,0,0,0,35,Graduate
1,1,104.0,0,1,0,0,27,Dropout
1,3,122.3,1,0,0,0,19,Dropout
1,2,135.0,0,0,0,0,20,Dropout
1,2,119.1,1,1,0,0,20,Dropout
1,3,129.0,1,0,0,1,18,Graduate
1,1,162.3,1,0,0,0,24,Dropout
1,4,163.4,1,0,0,0,20,Graduate
1,1,121.5,0,0,0,1,21,Graduate
1,1,118.0,1,0,0,0,24,Dropout
1,1,134.0,0,0,0,0,21,Dropout
1,4,129.8,1,0,0,0,18,Graduate
1,1,152.0,1,0,0,0,27,Dropout
1,6,122.8,1,0,0,0,18,Graduate
1,1,150.0,0,0,0,0,35,Dropout
1,1,131.8,0,0,0,0,18,Graduate
1,1,132.1,1,0,0,0,19,Graduate
1,4,127.4,1,0,0,0,20,Graduate
1,4,129.5,1,0,0,0,18,Graduate
1,1,126.7,0,1,0,0,21,Graduate
1,2,116.5,0,0,0,1,18,Graduate
1,1,119.1,1,0,0,0,18,Graduate
1,2,126.5,1,0,0,0,18,Graduate
1,4,149.8,1,0,0,1,18,Graduate
